subject	relation	object	provenance	xp	redundancy
MI:0013	part_of	MI:0000	implied	link	
MI:0014	OBO_REL:is_a	MI:0228	asserted	link	
MI:0014	OBO_REL:is_a	MI:0090	implied	link	
MI:0014	OBO_REL:is_a	MI:0045	implied	link	
MI:0014	part_of	MI:0000	implied	link	
MI:0014	OBO_REL:is_a	MI:0001	implied	link	
MI:0016	OBO_REL:is_a	MI:0013	asserted	link	
MI:0016	OBO_REL:is_a	MI:0001	implied	link	
MI:0016	part_of	MI:0000	implied	link	
MI:0016	OBO_REL:is_a	MI:0045	implied	link	
MI:0017	OBO_REL:is_a	MI:0051	asserted	link	
MI:0017	part_of	MI:0000	implied	link	
MI:0017	OBO_REL:is_a	MI:0045	implied	link	
MI:0017	OBO_REL:is_a	MI:0013	implied	link	
MI:0017	OBO_REL:is_a	MI:0001	implied	link	
MI:0018	OBO_REL:is_a	MI:0232	asserted	link	
MI:0018	OBO_REL:is_a	MI:0045	implied	link	
MI:0018	OBO_REL:is_a	MI:0001	implied	link	
MI:0018	part_of	MI:0000	implied	link	
MI:0018	OBO_REL:is_a	MI:0090	implied	link	
MI:0019	OBO_REL:is_a	MI:0004	asserted	link	
MI:0019	part_of	MI:0000	implied	link	
MI:0019	OBO_REL:is_a	MI:0401	implied	link	
MI:0019	OBO_REL:is_a	MI:0001	implied	link	
MI:0019	OBO_REL:is_a	MI:0400	implied	link	
MI:0019	OBO_REL:is_a	MI:0045	implied	link	
MI:0019	OBO_REL:is_a	MI:0091	implied	link	
MI:0020	OBO_REL:is_a	MI:0040	asserted	link	
MI:0020	OBO_REL:is_a	MI:0001	implied	link	
MI:0020	OBO_REL:is_a	MI:0045	implied	link	
MI:0020	OBO_REL:is_a	MI:0428	implied	link	
MI:0020	part_of	MI:0000	implied	link	
MI:0024	OBO_REL:is_a	MI:0110	asserted	link	
MI:0024	OBO_REL:is_a	MI:0001	implied	link	
MI:0024	OBO_REL:is_a	MI:0046	implied	link	
MI:0024	OBO_REL:is_a	MI:0063	implied	link	
MI:0024	part_of	MI:0000	implied	link	
MI:0026	OBO_REL:is_a	MI:0660	asserted	link	
MI:0026	OBO_REL:is_a	MI:0101	asserted	link	
MI:0026	part_of	MI:0000	implied	link	
MI:0026	OBO_REL:is_a	MI:0063	implied	link	
MI:0026	OBO_REL:is_a	MI:0003	implied	link	
MI:0026	OBO_REL:is_a	MI:0001	implied	link	
MI:0027	OBO_REL:is_a	MI:0401	asserted	link	
MI:0027	OBO_REL:is_a	MI:0001	implied	link	
MI:0027	part_of	MI:0000	implied	link	
MI:0027	OBO_REL:is_a	MI:0045	implied	link	
MI:0028	OBO_REL:is_a	MI:0027	asserted	link	
MI:0028	part_of	MI:0000	implied	link	
MI:0028	OBO_REL:is_a	MI:0045	implied	link	
MI:0028	OBO_REL:is_a	MI:0401	implied	link	
MI:0028	OBO_REL:is_a	MI:0001	implied	link	
MI:0029	OBO_REL:is_a	MI:0027	asserted	link	
MI:0029	OBO_REL:is_a	MI:0045	implied	link	
MI:0029	OBO_REL:is_a	MI:0401	implied	link	
MI:0029	part_of	MI:0000	implied	link	
MI:0029	OBO_REL:is_a	MI:0001	implied	link	
MI:0030	OBO_REL:is_a	MI:0401	asserted	link	
MI:0030	OBO_REL:is_a	MI:0001	implied	link	
MI:0030	part_of	MI:0000	implied	link	
MI:0030	OBO_REL:is_a	MI:0045	implied	link	
MI:0031	OBO_REL:is_a	MI:0030	asserted	link	
MI:0031	OBO_REL:is_a	MI:0401	implied	link	
MI:0031	part_of	MI:0000	implied	link	
MI:0031	OBO_REL:is_a	MI:0045	implied	link	
MI:0031	OBO_REL:is_a	MI:0001	implied	link	
MI:0032	OBO_REL:is_a	MI:0427	asserted	link	
MI:0032	OBO_REL:is_a	MI:0659	asserted	link	
MI:0032	OBO_REL:is_a	MI:0093	asserted	link	
MI:0032	OBO_REL:is_a	MI:0661	implied	link	
MI:0032	OBO_REL:is_a	MI:0002	implied	link	
MI:0032	part_of	MI:0000	implied	link	
MI:0032	OBO_REL:is_a	MI:0003	implied	link	
MI:0033	OBO_REL:is_a	MI:0074	asserted	link	
MI:0033	OBO_REL:is_a	MI:0003	implied	link	
MI:0033	OBO_REL:is_a	MI:0659	implied	link	
MI:0033	part_of	MI:0000	implied	link	
MI:0034	OBO_REL:is_a	MI:0400	asserted	link	
MI:0034	OBO_REL:is_a	MI:0045	implied	link	
MI:0034	OBO_REL:is_a	MI:0401	implied	link	
MI:0034	OBO_REL:is_a	MI:0001	implied	link	
MI:0034	part_of	MI:0000	implied	link	
MI:0035	OBO_REL:is_a	MI:0577	asserted	link	
MI:0035	OBO_REL:is_a	MI:0105	asserted	link	
MI:0035	OBO_REL:is_a	MI:0001	implied	link	
MI:0035	OBO_REL:is_a	MI:0063	implied	link	
MI:0035	OBO_REL:is_a	MI:0660	implied	link	
MI:0035	OBO_REL:is_a	MI:0003	implied	link	
MI:0035	part_of	MI:0000	implied	link	
MI:0036	OBO_REL:is_a	MI:0058	asserted	link	
MI:0036	OBO_REL:is_a	MI:0101	asserted	link	
MI:0036	part_of	MI:0000	implied	link	
MI:0036	OBO_REL:is_a	MI:0063	implied	link	
MI:0036	OBO_REL:is_a	MI:0001	implied	link	
MI:0037	OBO_REL:is_a	MI:0660	asserted	link	
MI:0037	OBO_REL:is_a	MI:0101	asserted	link	
MI:0037	OBO_REL:is_a	MI:0046	asserted	link	
MI:0037	part_of	MI:0000	implied	link	
MI:0037	OBO_REL:is_a	MI:0001	implied	link	
MI:0037	OBO_REL:is_a	MI:0003	implied	link	
MI:0037	OBO_REL:is_a	MI:0063	implied	link	
MI:0038	OBO_REL:is_a	MI:0067	asserted	link	
MI:0038	OBO_REL:is_a	MI:0001	implied	link	
MI:0038	OBO_REL:is_a	MI:0045	implied	link	
MI:0038	OBO_REL:is_a	MI:0013	implied	link	
MI:0038	part_of	MI:0000	implied	link	
MI:0039	OBO_REL:is_a	MI:0433	asserted	link	
MI:0039	part_of	MI:0000	implied	link	
MI:0039	OBO_REL:is_a	MI:0002	implied	link	
MI:0039	OBO_REL:is_a	MI:0661	implied	link	
MI:0039	OBO_REL:is_a	MI:0093	implied	link	
MI:0040	OBO_REL:is_a	MI:0428	asserted	link	
MI:0040	OBO_REL:is_a	MI:0045	implied	link	
MI:0040	part_of	MI:0000	implied	link	
MI:0040	OBO_REL:is_a	MI:0001	implied	link	
MI:0041	OBO_REL:is_a	MI:0043	asserted	link	
MI:0041	OBO_REL:is_a	MI:0001	implied	link	
MI:0041	OBO_REL:is_a	MI:0003	implied	link	
MI:0041	OBO_REL:is_a	MI:0045	implied	link	
MI:0041	OBO_REL:is_a	MI:0659	implied	link	
MI:0041	part_of	MI:0000	implied	link	
MI:0041	OBO_REL:is_a	MI:0013	implied	link	
MI:0042	OBO_REL:is_a	MI:0043	asserted	link	
MI:0042	OBO_REL:is_a	MI:0003	implied	link	
MI:0042	OBO_REL:is_a	MI:0013	implied	link	
MI:0042	part_of	MI:0000	implied	link	
MI:0042	OBO_REL:is_a	MI:0045	implied	link	
MI:0042	OBO_REL:is_a	MI:0659	implied	link	
MI:0042	OBO_REL:is_a	MI:0001	implied	link	
MI:0043	OBO_REL:is_a	MI:0659	asserted	link	
MI:0043	OBO_REL:is_a	MI:0013	asserted	link	
MI:0043	OBO_REL:is_a	MI:0001	implied	link	
MI:0043	part_of	MI:0000	implied	link	
MI:0043	OBO_REL:is_a	MI:0045	implied	link	
MI:0043	OBO_REL:is_a	MI:0003	implied	link	
MI:0045	OBO_REL:is_a	MI:0001	asserted	link	
MI:0045	part_of	MI:0000	implied	link	
MI:0046	OBO_REL:is_a	MI:0063	asserted	link	
MI:0046	OBO_REL:is_a	MI:0001	implied	link	
MI:0046	part_of	MI:0000	implied	link	
MI:0047	OBO_REL:is_a	MI:0892	asserted	link	
MI:0047	part_of	MI:0000	implied	link	
MI:0047	OBO_REL:is_a	MI:0045	implied	link	
MI:0047	OBO_REL:is_a	MI:0401	implied	link	
MI:0047	OBO_REL:is_a	MI:0400	implied	link	
MI:0047	OBO_REL:is_a	MI:0001	implied	link	
MI:0048	OBO_REL:is_a	MI:0084	asserted	link	
MI:0048	part_of	MI:0000	implied	link	
MI:0048	OBO_REL:is_a	MI:0400	implied	link	
MI:0048	OBO_REL:is_a	MI:0401	implied	link	
MI:0048	OBO_REL:is_a	MI:0001	implied	link	
MI:0048	OBO_REL:is_a	MI:0034	implied	link	
MI:0048	OBO_REL:is_a	MI:0045	implied	link	
MI:0049	OBO_REL:is_a	MI:0892	asserted	link	
MI:0049	OBO_REL:is_a	MI:0001	implied	link	
MI:0049	OBO_REL:is_a	MI:0401	implied	link	
MI:0049	OBO_REL:is_a	MI:0400	implied	link	
MI:0049	part_of	MI:0000	implied	link	
MI:0049	OBO_REL:is_a	MI:0045	implied	link	
MI:0051	OBO_REL:is_a	MI:0013	asserted	link	
MI:0051	OBO_REL:is_a	MI:0045	implied	link	
MI:0051	part_of	MI:0000	implied	link	
MI:0051	OBO_REL:is_a	MI:0001	implied	link	
MI:0052	OBO_REL:is_a	MI:0051	asserted	link	
MI:0052	OBO_REL:is_a	MI:0013	implied	link	
MI:0052	OBO_REL:is_a	MI:0001	implied	link	
MI:0052	OBO_REL:is_a	MI:0045	implied	link	
MI:0052	part_of	MI:0000	implied	link	
MI:0053	OBO_REL:is_a	MI:0051	asserted	link	
MI:0053	OBO_REL:is_a	MI:0013	implied	link	
MI:0053	part_of	MI:0000	implied	link	
MI:0053	OBO_REL:is_a	MI:0045	implied	link	
MI:0053	OBO_REL:is_a	MI:0001	implied	link	
MI:0054	OBO_REL:is_a	MI:0051	asserted	link	
MI:0054	OBO_REL:is_a	MI:0001	implied	link	
MI:0054	part_of	MI:0000	implied	link	
MI:0054	OBO_REL:is_a	MI:0045	implied	link	
MI:0054	OBO_REL:is_a	MI:0013	implied	link	
MI:0055	OBO_REL:is_a	MI:0051	asserted	link	
MI:0055	part_of	MI:0000	implied	link	
MI:0055	OBO_REL:is_a	MI:0013	implied	link	
MI:0055	OBO_REL:is_a	MI:0045	implied	link	
MI:0055	OBO_REL:is_a	MI:0001	implied	link	
MI:0056	OBO_REL:is_a	MI:0659	asserted	link	
MI:0056	OBO_REL:is_a	MI:0078	asserted	link	
MI:0056	OBO_REL:is_a	MI:0003	implied	link	
MI:0056	OBO_REL:is_a	MI:0002	implied	link	
MI:0056	OBO_REL:is_a	MI:0661	implied	link	
MI:0056	part_of	MI:0000	implied	link	
MI:0057	OBO_REL:is_a	MI:0058	asserted	link	
MI:0057	OBO_REL:is_a	MI:0063	implied	link	
MI:0057	part_of	MI:0000	implied	link	
MI:0057	OBO_REL:is_a	MI:0001	implied	link	
MI:0058	OBO_REL:is_a	MI:0063	asserted	link	
MI:0058	part_of	MI:0000	implied	link	
MI:0058	OBO_REL:is_a	MI:0001	implied	link	
MI:0063	OBO_REL:is_a	MI:0001	asserted	link	
MI:0063	part_of	MI:0000	implied	link	
MI:0064	OBO_REL:is_a	MI:0101	asserted	link	
MI:0064	OBO_REL:is_a	MI:0046	asserted	link	
MI:0064	part_of	MI:0000	implied	link	
MI:0064	OBO_REL:is_a	MI:0001	implied	link	
MI:0064	OBO_REL:is_a	MI:0063	implied	link	
MI:0065	OBO_REL:is_a	MI:0013	asserted	link	
MI:0065	OBO_REL:is_a	MI:0001	implied	link	
MI:0065	part_of	MI:0000	implied	link	
MI:0065	OBO_REL:is_a	MI:0045	implied	link	
MI:0066	OBO_REL:is_a	MI:0084	asserted	link	
MI:0066	OBO_REL:is_a	MI:0400	implied	link	
MI:0066	part_of	MI:0000	implied	link	
MI:0066	OBO_REL:is_a	MI:0401	implied	link	
MI:0066	OBO_REL:is_a	MI:0045	implied	link	
MI:0066	OBO_REL:is_a	MI:0034	implied	link	
MI:0066	OBO_REL:is_a	MI:0001	implied	link	
MI:0067	OBO_REL:is_a	MI:0013	asserted	link	
MI:0067	OBO_REL:is_a	MI:0045	implied	link	
MI:0067	OBO_REL:is_a	MI:0001	implied	link	
MI:0067	part_of	MI:0000	implied	link	
MI:0068	OBO_REL:is_a	MI:0659	asserted	link	
MI:0068	OBO_REL:is_a	MI:0003	implied	link	
MI:0068	part_of	MI:0000	implied	link	
MI:0069	OBO_REL:is_a	MI:0013	asserted	link	
MI:0069	part_of	MI:0000	implied	link	
MI:0069	OBO_REL:is_a	MI:0001	implied	link	
MI:0069	OBO_REL:is_a	MI:0045	implied	link	
MI:0070	OBO_REL:is_a	MI:0659	asserted	link	
MI:0070	OBO_REL:is_a	MI:0003	implied	link	
MI:0070	part_of	MI:0000	implied	link	
MI:0071	OBO_REL:is_a	MI:0091	asserted	link	
MI:0071	OBO_REL:is_a	MI:0013	asserted	link	
MI:0071	OBO_REL:is_a	MI:0401	implied	link	
MI:0071	OBO_REL:is_a	MI:0001	implied	link	
MI:0071	part_of	MI:0000	implied	link	
MI:0071	OBO_REL:is_a	MI:0045	implied	link	
MI:0072	OBO_REL:is_a	MI:0113	asserted	link	
MI:0072	OBO_REL:is_a	MI:0659	implied	link	
MI:0072	part_of	MI:0000	implied	link	
MI:0072	OBO_REL:is_a	MI:0002	implied	link	
MI:0072	OBO_REL:is_a	MI:0661	implied	link	
MI:0072	OBO_REL:is_a	MI:0003	implied	link	
MI:0072	OBO_REL:is_a	MI:0421	implied	link	
MI:0073	OBO_REL:is_a	MI:0034	asserted	link	
MI:0073	OBO_REL:is_a	MI:0045	implied	link	
MI:0073	OBO_REL:is_a	MI:0001	implied	link	
MI:0073	part_of	MI:0000	implied	link	
MI:0073	OBO_REL:is_a	MI:0400	implied	link	
MI:0073	OBO_REL:is_a	MI:0401	implied	link	
MI:0074	OBO_REL:is_a	MI:0659	asserted	link	
MI:0074	OBO_REL:is_a	MI:0003	implied	link	
MI:0074	part_of	MI:0000	implied	link	
MI:0076	OBO_REL:is_a	MI:0577	asserted	link	
MI:0076	OBO_REL:is_a	MI:0660	implied	link	
MI:0076	OBO_REL:is_a	MI:0003	implied	link	
MI:0076	part_of	MI:0000	implied	link	
MI:0077	OBO_REL:is_a	MI:0659	asserted	link	
MI:0077	OBO_REL:is_a	MI:0013	asserted	link	
MI:0077	OBO_REL:is_a	MI:0045	implied	link	
MI:0077	part_of	MI:0000	implied	link	
MI:0077	OBO_REL:is_a	MI:0001	implied	link	
MI:0077	OBO_REL:is_a	MI:0003	implied	link	
MI:0078	OBO_REL:is_a	MI:0661	asserted	link	
MI:0078	OBO_REL:is_a	MI:0002	implied	link	
MI:0078	part_of	MI:0000	implied	link	
MI:0080	OBO_REL:is_a	MI:0078	asserted	link	
MI:0080	OBO_REL:is_a	MI:0002	implied	link	
MI:0080	part_of	MI:0000	implied	link	
MI:0080	OBO_REL:is_a	MI:0661	implied	link	
MI:0081	OBO_REL:is_a	MI:0008	asserted	link	
MI:0081	OBO_REL:is_a	MI:0045	implied	link	
MI:0081	OBO_REL:is_a	MI:0400	implied	link	
MI:0081	OBO_REL:is_a	MI:0001	implied	link	
MI:0081	part_of	MI:0000	implied	link	
MI:0081	OBO_REL:is_a	MI:0401	implied	link	
MI:0082	OBO_REL:is_a	MI:0427	asserted	link	
MI:0082	OBO_REL:is_a	MI:0815	asserted	link	
MI:0082	OBO_REL:is_a	MI:0433	asserted	link	
MI:0082	part_of	MI:0000	implied	link	
MI:0082	OBO_REL:is_a	MI:0002	implied	link	
MI:0082	OBO_REL:is_a	MI:0396	implied	link	
MI:0082	OBO_REL:is_a	MI:0661	implied	link	
MI:0082	OBO_REL:is_a	MI:0093	implied	link	
MI:0083	OBO_REL:is_a	MI:0093	asserted	link	
MI:0083	OBO_REL:is_a	MI:0002	implied	link	
MI:0083	OBO_REL:is_a	MI:0661	implied	link	
MI:0083	part_of	MI:0000	implied	link	
MI:0084	OBO_REL:is_a	MI:0034	asserted	link	
MI:0084	OBO_REL:is_a	MI:0001	implied	link	
MI:0084	OBO_REL:is_a	MI:0045	implied	link	
MI:0084	OBO_REL:is_a	MI:0400	implied	link	
MI:0084	part_of	MI:0000	implied	link	
MI:0084	OBO_REL:is_a	MI:0401	implied	link	
MI:0085	OBO_REL:is_a	MI:0058	asserted	link	
MI:0085	part_of	MI:0000	implied	link	
MI:0085	OBO_REL:is_a	MI:0001	implied	link	
MI:0085	OBO_REL:is_a	MI:0063	implied	link	
MI:0086	OBO_REL:is_a	MI:0113	asserted	link	
MI:0086	OBO_REL:is_a	MI:0661	implied	link	
MI:0086	part_of	MI:0000	implied	link	
MI:0086	OBO_REL:is_a	MI:0003	implied	link	
MI:0086	OBO_REL:is_a	MI:0421	implied	link	
MI:0086	OBO_REL:is_a	MI:0002	implied	link	
MI:0086	OBO_REL:is_a	MI:0659	implied	link	
MI:0087	OBO_REL:is_a	MI:0110	asserted	link	
MI:0087	part_of	MI:0000	implied	link	
MI:0087	OBO_REL:is_a	MI:0063	implied	link	
MI:0087	OBO_REL:is_a	MI:0046	implied	link	
MI:0087	OBO_REL:is_a	MI:0001	implied	link	
MI:0088	OBO_REL:is_a	MI:0080	asserted	link	
MI:0088	OBO_REL:is_a	MI:0661	implied	link	
MI:0088	OBO_REL:is_a	MI:0002	implied	link	
MI:0088	part_of	MI:0000	implied	link	
MI:0088	OBO_REL:is_a	MI:0078	implied	link	
MI:0089	OBO_REL:is_a	MI:0008	asserted	link	
MI:0089	part_of	MI:0000	implied	link	
MI:0089	OBO_REL:is_a	MI:0001	implied	link	
MI:0089	OBO_REL:is_a	MI:0400	implied	link	
MI:0089	OBO_REL:is_a	MI:0045	implied	link	
MI:0089	OBO_REL:is_a	MI:0401	implied	link	
MI:0090	OBO_REL:is_a	MI:0045	asserted	link	
MI:0090	part_of	MI:0000	implied	link	
MI:0090	OBO_REL:is_a	MI:0001	implied	link	
MI:0091	OBO_REL:is_a	MI:0401	asserted	link	
MI:0091	OBO_REL:is_a	MI:0045	implied	link	
MI:0091	part_of	MI:0000	implied	link	
MI:0091	OBO_REL:is_a	MI:0001	implied	link	
MI:0092	OBO_REL:is_a	MI:0008	asserted	link	
MI:0092	OBO_REL:is_a	MI:0045	implied	link	
MI:0092	OBO_REL:is_a	MI:0400	implied	link	
MI:0092	part_of	MI:0000	implied	link	
MI:0092	OBO_REL:is_a	MI:0001	implied	link	
MI:0092	OBO_REL:is_a	MI:0401	implied	link	
MI:0093	OBO_REL:is_a	MI:0661	asserted	link	
MI:0093	part_of	MI:0000	implied	link	
MI:0093	OBO_REL:is_a	MI:0002	implied	link	
MI:0094	OBO_REL:is_a	MI:0659	asserted	link	
MI:0094	OBO_REL:is_a	MI:0003	implied	link	
MI:0094	part_of	MI:0000	implied	link	
MI:0095	OBO_REL:is_a	MI:0008	asserted	link	
MI:0095	OBO_REL:is_a	MI:0001	implied	link	
MI:0095	OBO_REL:is_a	MI:0045	implied	link	
MI:0095	OBO_REL:is_a	MI:0400	implied	link	
MI:0095	OBO_REL:is_a	MI:0401	implied	link	
MI:0095	part_of	MI:0000	implied	link	
MI:0096	OBO_REL:is_a	MI:0004	asserted	link	
MI:0096	OBO_REL:is_a	MI:0401	implied	link	
MI:0096	part_of	MI:0000	implied	link	
MI:0096	OBO_REL:is_a	MI:0001	implied	link	
MI:0096	OBO_REL:is_a	MI:0045	implied	link	
MI:0096	OBO_REL:is_a	MI:0400	implied	link	
MI:0096	OBO_REL:is_a	MI:0091	implied	link	
MI:0097	OBO_REL:is_a	MI:0228	asserted	link	
MI:0097	OBO_REL:is_a	MI:0045	implied	link	
MI:0097	OBO_REL:is_a	MI:0001	implied	link	
MI:0097	part_of	MI:0000	implied	link	
MI:0097	OBO_REL:is_a	MI:0090	implied	link	
MI:0098	OBO_REL:is_a	MI:0034	asserted	link	
MI:0098	part_of	MI:0000	implied	link	
MI:0098	OBO_REL:is_a	MI:0401	implied	link	
MI:0098	OBO_REL:is_a	MI:0045	implied	link	
MI:0098	OBO_REL:is_a	MI:0001	implied	link	
MI:0098	OBO_REL:is_a	MI:0400	implied	link	
MI:0099	OBO_REL:is_a	MI:0013	asserted	link	
MI:0099	OBO_REL:is_a	MI:0045	implied	link	
MI:0099	part_of	MI:0000	implied	link	
MI:0099	OBO_REL:is_a	MI:0001	implied	link	
MI:0100	OBO_REL:is_a	MI:0058	asserted	link	
MI:0100	OBO_REL:is_a	MI:0101	asserted	link	
MI:0100	OBO_REL:is_a	MI:0001	implied	link	
MI:0100	OBO_REL:is_a	MI:0063	implied	link	
MI:0100	part_of	MI:0000	implied	link	
MI:0101	OBO_REL:is_a	MI:0063	asserted	link	
MI:0101	OBO_REL:is_a	MI:0001	implied	link	
MI:0101	part_of	MI:0000	implied	link	
MI:0102	OBO_REL:is_a	MI:0427	asserted	link	
MI:0102	OBO_REL:is_a	MI:0433	asserted	link	
MI:0102	OBO_REL:is_a	MI:0661	implied	link	
MI:0102	OBO_REL:is_a	MI:0093	implied	link	
MI:0102	part_of	MI:0000	implied	link	
MI:0102	OBO_REL:is_a	MI:0002	implied	link	
MI:0103	OBO_REL:is_a	MI:0080	asserted	link	
MI:0103	OBO_REL:is_a	MI:0002	implied	link	
MI:0103	OBO_REL:is_a	MI:0078	implied	link	
MI:0103	OBO_REL:is_a	MI:0661	implied	link	
MI:0103	part_of	MI:0000	implied	link	
MI:0104	OBO_REL:is_a	MI:0067	asserted	link	
MI:0104	OBO_REL:is_a	MI:0001	implied	link	
MI:0104	OBO_REL:is_a	MI:0045	implied	link	
MI:0104	OBO_REL:is_a	MI:0013	implied	link	
MI:0104	part_of	MI:0000	implied	link	
MI:0105	OBO_REL:is_a	MI:0063	asserted	link	
MI:0105	part_of	MI:0000	implied	link	
MI:0105	OBO_REL:is_a	MI:0001	implied	link	
MI:0106	OBO_REL:is_a	MI:0577	asserted	link	
MI:0106	OBO_REL:is_a	MI:0660	implied	link	
MI:0106	part_of	MI:0000	implied	link	
MI:0106	OBO_REL:is_a	MI:0003	implied	link	
MI:0107	OBO_REL:is_a	MI:0013	asserted	link	
MI:0107	part_of	MI:0000	implied	link	
MI:0107	OBO_REL:is_a	MI:0045	implied	link	
MI:0107	OBO_REL:is_a	MI:0001	implied	link	
MI:0108	OBO_REL:is_a	MI:0084	asserted	link	
MI:0108	OBO_REL:is_a	MI:0401	implied	link	
MI:0108	OBO_REL:is_a	MI:0400	implied	link	
MI:0108	part_of	MI:0000	implied	link	
MI:0108	OBO_REL:is_a	MI:0045	implied	link	
MI:0108	OBO_REL:is_a	MI:0034	implied	link	
MI:0108	OBO_REL:is_a	MI:0001	implied	link	
MI:0110	OBO_REL:is_a	MI:0046	asserted	link	
MI:0110	OBO_REL:is_a	MI:0063	implied	link	
MI:0110	part_of	MI:0000	implied	link	
MI:0110	OBO_REL:is_a	MI:0001	implied	link	
MI:0111	OBO_REL:is_a	MI:0228	asserted	link	
MI:0111	OBO_REL:is_a	MI:0090	implied	link	
MI:0111	part_of	MI:0000	implied	link	
MI:0111	OBO_REL:is_a	MI:0001	implied	link	
MI:0111	OBO_REL:is_a	MI:0045	implied	link	
MI:0112	OBO_REL:is_a	MI:0228	asserted	link	
MI:0112	OBO_REL:is_a	MI:0045	implied	link	
MI:0112	OBO_REL:is_a	MI:0001	implied	link	
MI:0112	OBO_REL:is_a	MI:0090	implied	link	
MI:0112	part_of	MI:0000	implied	link	
MI:0113	OBO_REL:is_a	MI:0659	asserted	link	
MI:0113	OBO_REL:is_a	MI:0421	asserted	link	
MI:0113	OBO_REL:is_a	MI:0003	implied	link	
MI:0113	OBO_REL:is_a	MI:0661	implied	link	
MI:0113	part_of	MI:0000	implied	link	
MI:0113	OBO_REL:is_a	MI:0002	implied	link	
MI:0114	OBO_REL:is_a	MI:0013	asserted	link	
MI:0114	OBO_REL:is_a	MI:0659	asserted	link	
MI:0114	OBO_REL:is_a	MI:0001	implied	link	
MI:0114	OBO_REL:is_a	MI:0045	implied	link	
MI:0114	OBO_REL:is_a	MI:0003	implied	link	
MI:0114	part_of	MI:0000	implied	link	
MI:0115	OBO_REL:is_a	MI:0034	asserted	link	
MI:0115	OBO_REL:is_a	MI:0054	asserted	link	
MI:0115	OBO_REL:is_a	MI:0001	implied	link	
MI:0115	OBO_REL:is_a	MI:0045	implied	link	
MI:0115	OBO_REL:is_a	MI:0401	implied	link	
MI:0115	OBO_REL:is_a	MI:0400	implied	link	
MI:0115	OBO_REL:is_a	MI:0051	implied	link	
